PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
Paul George,LOS ANGELES CLIPPERS,48,34,14,29.6,21.5,52.3,28.8,3.2,3.61,2.95,0.411,0.9,1.4,0.6,0.523,0.338,0.677,2020
Paul Millsap,DENVER NUGGETS,51,30,21,24.3,11.6,33.2,21.4,1.2,2.24,1.17,0.349,0.8,2.2,4.2,0.651,0.691,0.776,2020
Paul Watson,TORONTO RAPTORS,10,7,3,8.7,3.1,11.4,8.1,0.4,2.26,1.61,0.272,0.2,0.0,0.2,1.0,0.0,2.0,2020
Quinn Cook,LOS ANGELES LAKERS,44,31,13,11.5,5.1,18.9,8.9,1.3,4.26,4.4,0.269,0.0,0.0,0.2,2.0,0.0,1.0,2020
Quinndary Weatherspoon,SAN ANTONIO SPURS,11,5,6,7.1,1.1,10.9,5.2,0.7,3.61,2.86,0.1,0.2,0.0,0.1,1.0,0.0,0.0,2020
RJ Barrett,NEW YORK KNICKS,56,17,39,30.4,14.3,44.2,30.6,2.5,3.39,2.74,0.324,0.7,0.8,1.7,0.872,0.844,0.915,2020
Rajon Rondo,LOS ANGELES LAKERS,48,37,11,20.5,7.1,50.4,19.4,4.1,4.82,4.25,0.141,0.3,0.1,0.7,0.143,0.0,0.265,2020
Raul Neto,PHILADELPHIA 76ERS,54,29,25,12.4,5.1,28.7,10.7,2.4,5.11,5.13,0.177,0.1,0.0,0.2,0.667,0.0,0.4,2020
Rayjon Tucker,UTAH JAZZ,20,12,8,8.1,3.1,10.1,5.8,0.5,2.73,1.62,0.308,0.0,0.1,0.2,0.0,0.0,0.5,2020
Reggie Bullock Jr.,NEW YORK KNICKS,29,9,20,23.6,8.1,33.0,24.3,1.0,1.86,0.8,0.244,0.5,0.0,1.0,0.857,2.0,0.893,2020
Reggie Jackson,LOS ANGELES CLIPPERS,31,16,15,24.0,11.9,53.0,19.1,4.4,4.96,4.47,0.225,0.4,0.1,0.6,0.0,0.0,0.667,2020
Richaun Holmes,SACRAMENTO KINGS,43,16,27,28.4,12.4,35.6,20.6,0.8,1.42,0.33,0.348,4.3,1.0,8.2,0.77,0.511,1.076,2020
Ricky Rubio,,64,32,32,30.9,12.8,77.5,24.2,6.8,5.26,4.83,0.166,0.4,0.1,0.5,0.429,0.667,0.258,2020
Robert Covington,HOUSTON ROCKETS,70,27,43,30.5,12.4,51.0,23.4,1.3,1.57,0.51,0.243,0.7,0.0,1.7,0.72,0.0,0.958,2020
Robert Williams III,BOSTON CELTICS,29,19,10,13.4,5.2,17.5,12.0,0.4,1.24,0.31,0.295,1.2,0.1,3.9,0.5,0.5,1.062,2020
Robin Lopez,MILWAUKEE BUCKS,66,51,15,14.5,5.4,15.6,11.1,0.4,1.68,0.57,0.346,1.3,1.6,2.2,0.616,0.689,0.814,2020
Rodions Kurucs,,47,18,29,14.5,4.6,20.9,11.1,0.6,1.68,0.82,0.219,0.3,0.1,1.1,0.375,0.0,0.889,2020
Rodney Hood,PORTLAND TRAIL BLAZERS,21,8,13,29.5,11.0,34.3,20.3,1.6,2.73,1.73,0.319,0.1,1.1,0.7,0.0,0.792,0.714,2020
Rodney McGruder,LOS ANGELES CLIPPERS,56,38,18,15.6,3.3,14.7,8.0,0.5,2.05,1.36,0.228,0.3,0.0,0.8,0.429,0.0,0.6,2020
Romeo Langford,BOSTON CELTICS,32,22,10,11.6,2.5,9.7,6.4,0.4,2.27,1.4,0.256,0.2,0.1,0.6,0.0,0.0,0.737,2020
Rondae Hollis-Jefferson,TORONTO RAPTORS,59,42,17,18.9,7.1,34.4,17.2,1.2,2.09,1.17,0.206,1.7,1.8,4.6,0.58,0.377,0.681,2020
Royce O'Neale,UTAH JAZZ,71,44,27,28.9,6.3,47.3,25.8,1.3,1.62,0.78,0.134,0.4,0.0,0.6,0.759,0.0,0.524,2020
Rudy Gay,SAN ANTONIO SPURS,66,29,37,21.7,10.8,37.6,19.2,1.5,2.42,1.32,0.289,0.7,1.6,1.3,0.551,0.472,0.977,2020
Rudy Gobert,UTAH JAZZ,68,42,26,34.3,15.1,61.0,33.1,1.5,1.49,0.36,0.247,4.6,0.7,10.9,0.597,0.479,1.035,2020
Rui Hachimura,WASHINGTON WIZARDS,48,15,33,30.1,13.5,49.8,28.0,1.8,2.12,1.19,0.272,2.1,1.8,4.4,0.6,0.357,0.876,2020
Russell Westbrook,HOUSTON ROCKETS,57,36,21,36.0,27.2,76.8,31.5,5.8,4.49,4.25,0.355,0.8,1.1,2.2,0.558,0.433,0.645,2020
Ryan Anderson,HOUSTON ROCKETS,2,1,1,7.0,2.5,5.0,1.5,0.1,1.58,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2020
Ryan Arcidiacono,CHICAGO BULLS,58,21,37,16.0,4.5,25.0,13.9,1.3,3.01,2.59,0.18,0.2,0.0,0.6,1.0,0.0,0.781,2020
Ryan Broekhoff,PHILADELPHIA 76ERS,16,9,7,11.2,4.4,14.9,8.1,0.3,1.4,0.49,0.298,0.2,0.0,0.4,0.0,0.0,0.0,2020
Sekou Doumbouya,DETROIT PISTONS,38,10,28,19.8,6.4,26.9,14.2,0.9,1.91,0.85,0.238,0.8,0.3,1.5,0.828,1.091,0.947,2020
Semi Ojeleye,BOSTON CELTICS,69,46,23,14.6,3.4,18.6,7.4,0.5,1.61,0.58,0.184,0.3,0.1,0.7,0.391,0.0,0.62,2020
Serge Ibaka,TORONTO RAPTORS,54,39,15,26.8,15.4,45.0,28.7,1.1,1.5,0.37,0.342,4.4,1.6,6.2,0.626,0.64,0.893,2020
Seth Curry,DALLAS MAVERICKS,62,36,26,24.3,12.0,31.4,21.9,1.7,3.16,2.5,0.381,0.3,0.0,0.3,0.824,0.0,0.938,2020
Shabazz Napier,WASHINGTON WIZARDS,56,16,40,24.0,10.3,58.4,23.1,4.3,4.46,3.99,0.177,0.3,0.0,0.7,0.438,0.5,0.561,2020
Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,70,43,27,34.7,19.0,60.0,30.9,4.0,4.02,3.65,0.317,0.5,0.0,0.8,0.794,1.0,0.815,2020
Shake Milton,PHILADELPHIA 76ERS,40,23,17,20.1,9.4,36.5,16.2,2.8,4.54,4.08,0.258,0.2,0.0,0.6,0.571,0.0,0.8,2020
Shamorie Ponds,TORONTO RAPTORS,4,4,0,2.6,2.3,6.0,2.5,0.6,5.7,4.92,0.375,0.0,0.0,0.3,0.0,0.0,0.0,2020
Shaquille Harrison,CHICAGO BULLS,43,14,29,11.3,4.9,18.2,10.4,0.9,2.89,2.14,0.267,0.4,0.0,0.7,0.889,2.0,1.0,2020
Sindarius Thornwell,NEW ORLEANS PELICANS,2,0,2,17.7,8.0,31.0,22.0,1.2,2.25,1.46,0.258,0.0,0.0,0.5,0.0,0.0,0.0,2020
Skal Labissiere,ATLANTA HAWKS,33,14,19,17.2,5.8,22.4,13.5,0.6,1.63,0.37,0.257,2.2,0.9,4.2,0.554,0.2,0.755,2020
Solomon Hill,MIAMI HEAT,59,29,30,18.4,5.5,27.9,16.5,0.9,1.83,0.9,0.196,0.5,0.3,0.6,0.4,0.111,0.595,2020
Spencer Dinwiddie,,64,30,34,31.2,20.6,70.8,23.2,6.8,5.75,5.15,0.291,0.4,0.2,0.6,0.704,0.364,0.694,2020
Stanley Johnson,TORONTO RAPTORS,25,19,6,6.0,2.4,12.0,4.8,0.8,3.82,2.89,0.199,0.1,0.1,0.3,0.0,0.5,0.571,2020
Stanton Kidd,UTAH JAZZ,4,3,1,3.8,0.0,4.5,2.5,0.1,1.18,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Stephen Curry,GOLDEN STATE WARRIORS,5,1,4,27.9,20.8,75.8,32.2,4.5,3.55,3.19,0.274,1.4,0.0,1.8,0.857,0.0,0.667,2020
Sterling Brown,MILWAUKEE BUCKS,52,39,13,14.7,5.1,22.0,10.9,1.1,2.98,2.31,0.233,0.3,0.1,0.8,0.357,0.0,0.769,2020
Steven Adams,OKLAHOMA CITY THUNDER,63,40,23,26.7,10.9,54.7,28.7,1.7,1.82,0.41,0.199,5.7,3.9,10.3,0.465,0.567,0.723,2020
Svi Mykhailiuk,DETROIT PISTONS,55,17,38,22.8,9.2,29.5,21.5,1.2,2.45,1.53,0.311,0.2,0.0,0.3,0.727,0.0,0.737,2020
T.J. Leaf,INDIANA PACERS,28,16,12,7.9,3.0,12.2,5.9,0.3,1.59,0.57,0.246,0.5,0.4,1.4,0.4,0.818,0.789,2020
T.J. McConnell,INDIANA PACERS,71,44,27,18.7,6.5,45.7,13.0,4.1,5.34,5.33,0.143,0.5,0.1,0.6,0.462,0.0,0.348,2020
T.J. Warren,INDIANA PACERS,67,42,25,32.9,19.8,43.8,32.6,1.8,2.48,1.49,0.451,1.2,0.6,2.5,0.937,0.537,1.271,2020
Tacko Fall,BOSTON CELTICS,7,5,2,4.6,3.3,6.0,3.6,0.2,2.05,0.69,0.548,0.3,1.3,2.0,0.0,0.556,1.357,2020
Taj Gibson,NEW YORK KNICKS,62,21,41,16.5,6.1,26.7,15.1,0.7,1.51,0.56,0.229,2.2,0.9,3.9,0.511,0.782,0.959,2020
Talen Horton-Tucker,LOS ANGELES LAKERS,6,2,4,13.5,5.7,25.0,14.3,1.2,2.78,1.89,0.227,0.3,0.0,0.3,1.0,0.0,1.0,2020
Tariq Owens,,3,0,3,5.1,1.3,7.0,4.0,0.2,1.33,0.43,0.19,0.0,0.0,0.7,0.0,0.0,1.0,2020
Taurean Prince,,64,30,34,29.0,12.1,44.9,23.3,1.6,2.14,1.11,0.269,0.4,0.1,0.9,0.889,0.0,0.655,2020
Terance Mann,LOS ANGELES CLIPPERS,41,27,14,8.8,2.4,17.5,6.8,1.3,4.56,4.04,0.138,0.2,0.0,0.6,0.5,0.0,0.542,2020
Terence Davis,TORONTO RAPTORS,71,52,19,16.9,7.6,27.4,14.2,1.5,3.22,2.79,0.28,0.5,0.0,1.1,0.406,2.0,1.038,2020
Terrance Ferguson,OKLAHOMA CITY THUNDER,56,33,23,22.5,3.9,14.4,12.3,0.3,1.29,0.53,0.274,0.2,0.0,0.7,0.556,0.0,0.541,2020
Terrence Ross,ORLANDO MAGIC,69,31,38,27.4,14.7,29.3,22.3,1.1,2.27,1.26,0.502,0.8,0.0,0.4,0.828,0.0,0.9,2020
Terry Rozier,,62,21,41,34.3,18.1,69.9,37.0,4.9,4.21,3.64,0.259,0.4,0.0,0.8,0.444,0.0,0.82,2020
Thabo Sefolosha,HOUSTON ROCKETS,41,27,14,10.6,2.2,12.8,5.7,0.3,1.64,0.67,0.176,0.3,0.0,0.7,0.455,0.0,0.7,2020
Thaddeus Young,CHICAGO BULLS,64,22,42,24.9,10.3,44.2,23.9,1.4,1.88,0.97,0.233,1.5,1.5,2.5,0.495,0.532,0.822,2020
Thanasis Antetokounmpo,MILWAUKEE BUCKS,19,15,4,6.7,2.9,10.3,6.0,0.4,2.57,2.01,0.282,0.1,0.1,1.0,2.5,0.0,1.105,2020
Theo Pinson,NEW YORK KNICKS,33,15,18,11.1,3.6,24.4,8.5,1.9,4.67,4.0,0.149,0.1,0.0,0.3,0.0,0.0,0.7,2020
Thomas Bryant,WASHINGTON WIZARDS,46,15,31,24.9,13.2,48.6,28.7,1.3,1.59,0.48,0.272,3.5,1.0,5.8,0.728,0.522,1.089,2020
Thon Maker,DETROIT PISTONS,59,20,39,13.1,4.7,21.2,11.3,0.6,1.63,0.43,0.224,1.3,0.3,2.5,0.419,0.5,0.78,2020
Tim Frazier,DETROIT PISTONS,26,9,17,13.6,3.7,34.9,10.8,3.3,5.62,5.17,0.105,0.3,0.0,0.6,0.222,0.0,0.625,2020
Tim Hardaway Jr.,DALLAS MAVERICKS,69,39,30,29.4,16.0,40.3,27.1,1.8,2.68,1.8,0.395,0.3,0.2,0.8,0.333,0.727,0.907,2020
Timothe Luwawu-Cabarrot,,47,20,27,18.1,7.8,23.2,13.4,0.8,2.06,1.27,0.335,0.3,0.0,0.7,0.769,0.0,0.824,2020
Tobias Harris,PHILADELPHIA 76ERS,72,43,29,34.3,19.6,60.7,37.2,3.1,3.04,2.05,0.323,1.7,2.5,2.5,0.678,0.73,1.027,2020
Tomas Satoransky,CHICAGO BULLS,65,22,43,28.9,9.9,63.6,27.1,4.4,4.15,3.91,0.156,0.8,0.3,1.6,0.491,0.235,0.577,2020
Tony Bradley,UTAH JAZZ,58,36,22,11.4,4.9,16.8,9.3,0.4,1.27,0.35,0.292,1.3,0.2,3.9,0.784,1.111,0.921,2020
Tony Snell,DETROIT PISTONS,58,18,40,27.8,8.0,35.4,23.3,1.2,2.01,0.91,0.225,0.3,0.0,0.2,0.471,0.0,0.615,2020
Torrey Craig,DENVER NUGGETS,58,38,20,18.5,5.4,18.7,12.4,0.6,1.86,0.81,0.291,0.5,0.1,1.8,0.433,0.0,0.971,2020
Trae Young,ATLANTA HAWKS,60,18,42,35.3,29.6,87.0,23.3,9.1,6.27,6.03,0.341,0.3,0.0,0.6,0.667,0.0,0.618,2020
Tremont Waters,BOSTON CELTICS,11,8,3,10.8,3.6,21.9,7.3,1.9,5.2,5.23,0.166,0.0,0.0,0.2,0.0,0.0,1.0,2020
Treveon Graham,ATLANTA HAWKS,55,21,34,16.9,4.4,21.9,12.3,0.7,1.83,0.87,0.202,0.2,0.1,1.3,0.667,0.5,0.667,2020
Trevor Ariza,PORTLAND TRAIL BLAZERS,52,21,31,27.9,7.7,32.0,20.9,1.1,2.07,1.04,0.242,0.5,0.3,1.0,0.5,0.133,0.925,2020
Trey Burke,DALLAS MAVERICKS,33,16,17,15.8,7.4,31.1,14.6,2.3,4.51,4.08,0.237,0.4,0.0,0.3,0.667,0.0,0.444,2020
Trey Lyles,SAN ANTONIO SPURS,62,26,36,20.2,6.5,37.4,16.6,1.0,1.58,0.54,0.173,0.6,0.1,1.4,0.421,0.8,0.682,2020
Tristan Thompson,CLEVELAND CAVALIERS,57,19,38,30.2,12.0,53.5,32.8,1.8,2.04,0.77,0.224,3.9,2.5,10.5,0.379,0.444,0.753,2020
Troy Brown Jr.,WASHINGTON WIZARDS,69,24,45,25.8,10.4,39.4,25.1,1.9,2.87,2.31,0.263,0.6,0.1,1.7,0.909,0.222,0.708,2020
Troy Daniels,DENVER NUGGETS,47,34,13,11.3,4.3,9.9,7.1,0.3,1.81,1.02,0.431,0.2,0.0,0.4,1.0,0.0,0.611,2020
Ty Jerome,,31,16,15,10.6,3.3,21.2,9.4,1.6,4.41,4.2,0.155,0.2,0.0,0.4,0.857,0.0,0.583,2020
Tyler Cook,DENVER NUGGETS,13,3,10,4.2,1.8,5.2,2.6,0.1,1.74,0.69,0.343,0.2,0.3,0.6,0.0,1.0,1.0,2020
Tyler Herro,MIAMI HEAT,55,34,21,27.4,13.5,44.5,25.0,2.4,3.25,2.7,0.303,0.5,0.1,0.6,0.56,0.0,0.875,2020
Tyler Johnson,,38,16,22,18.3,7.2,32.4,16.1,1.9,3.42,3.04,0.221,0.4,0.2,0.7,0.429,0.333,0.615,2020
Tyler Zeller,SAN ANTONIO SPURS,2,1,1,1.9,1.0,3.0,2.5,0.0,0.65,0.17,0.333,0.0,0.0,2.5,0.0,0.0,0.4,2020
Tyrone Wallace,ATLANTA HAWKS,14,3,11,11.5,2.9,16.6,7.1,1.0,3.55,3.22,0.172,0.1,0.1,0.3,1.0,0.0,1.5,2020
Tyson Chandler,HOUSTON ROCKETS,26,15,11,8.4,1.3,9.7,3.9,0.2,1.41,0.19,0.134,0.6,0.1,1.7,0.4,0.5,0.698,2020
Tyus Jones,MEMPHIS GRIZZLIES,65,32,33,19.0,7.4,43.7,16.4,3.2,4.45,3.96,0.17,0.2,0.0,0.2,0.857,0.0,0.857,2020
Udonis Haslem,MIAMI HEAT,4,3,1,11.0,3.0,20.0,11.8,0.5,1.47,0.24,0.15,1.0,0.3,1.8,0.5,0.0,0.286,2020
Vic Law,ORLANDO MAGIC,8,2,6,7.7,1.9,12.6,4.5,0.4,1.75,0.72,0.149,0.3,0.0,0.5,0.0,0.0,0.0,2020
Victor Oladipo,INDIANA PACERS,19,11,8,27.8,14.5,45.8,26.5,2.9,3.81,3.24,0.316,0.3,0.0,0.6,0.667,0.0,0.5,2020
Vince Carter,ATLANTA HAWKS,60,19,41,14.6,5.0,21.4,12.4,0.7,1.82,0.79,0.232,0.4,0.5,0.4,0.524,0.645,0.591,2020
Vincent Poirier,BOSTON CELTICS,22,18,4,5.9,1.9,8.3,5.4,0.2,1.61,0.45,0.224,0.6,0.2,1.2,0.286,0.4,0.923,2020
Vlatko Cancar,DENVER NUGGETS,14,7,7,3.2,1.2,4.2,2.9,0.1,1.58,0.58,0.288,0.2,0.0,0.6,0.667,0.0,1.0,2020
Wayne Ellington,NEW YORK KNICKS,36,9,27,15.5,5.1,18.1,14.6,0.5,1.78,1.0,0.282,0.3,0.0,0.4,0.0,0.0,0.462,2020
Wendell Carter Jr.,CHICAGO BULLS,43,15,28,29.2,11.3,40.5,25.2,1.1,1.57,0.45,0.278,4.4,1.8,9.0,0.379,0.551,0.759,2020
Wenyen Gabriel,PORTLAND TRAIL BLAZERS,29,9,20,7.8,2.2,9.6,4.6,0.2,1.54,0.55,0.226,0.6,0.1,1.2,0.0,0.75,0.8,2020
Wes Iwundu,ORLANDO MAGIC,52,23,29,18.3,5.8,19.0,11.6,0.9,2.82,1.93,0.304,0.3,0.0,1.0,1.0,0.0,0.75,2020
Wesley Matthews,MILWAUKEE BUCKS,66,51,15,24.5,7.5,22.7,14.8,0.7,1.95,1.17,0.328,0.4,0.1,0.8,0.75,0.667,0.836,2020
Will Barton,DENVER NUGGETS,58,38,20,33.0,15.1,55.8,32.3,3.3,3.56,2.79,0.27,1.3,0.1,1.9,0.605,0.286,0.841,2020
William Howard,HOUSTON ROCKETS,2,1,1,6.6,0.0,9.5,3.0,0.2,1.53,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Willie Cauley-Stein,DALLAS MAVERICKS,53,15,38,20.4,7.3,32.1,18.9,0.9,1.68,0.62,0.228,3.8,1.9,5.6,0.33,0.284,0.86,2020
Willy Hernangomez,,30,7,23,12.2,6.2,26.8,16.5,0.7,1.58,0.49,0.233,2.2,2.6,3.7,0.415,0.304,0.928,2020
Wilson Chandler,,35,16,19,21.0,5.9,32.4,15.6,1.0,1.86,0.88,0.181,0.5,0.1,0.7,0.5,0.0,0.24,2020
Yogi Ferrell,SACRAMENTO KINGS,50,20,30,10.6,4.4,19.2,6.4,1.7,5.33,5.02,0.227,0.1,0.0,0.2,0.4,2.0,0.0,2020
Yuta Watanabe,MEMPHIS GRIZZLIES,18,9,9,5.8,2.0,7.8,5.2,0.3,2.31,1.58,0.257,0.4,0.0,0.5,0.429,0.0,0.222,2020
Zach Collins,PORTLAND TRAIL BLAZERS,11,8,3,26.4,7.0,31.4,18.5,0.8,1.52,0.38,0.223,2.2,1.5,4.9,0.0,0.706,0.741,2020
Zach LaVine,CHICAGO BULLS,60,20,40,34.8,25.5,67.5,37.3,4.5,4.03,3.31,0.378,0.7,0.3,1.4,1.07,0.45,1.153,2020
Zach Norvell Jr.,GOLDEN STATE WARRIORS,5,2,3,8.2,2.0,10.4,6.4,0.3,1.98,1.37,0.192,0.0,0.2,0.4,0.0,0.0,0.0,2020
Zhaire Smith,PHILADELPHIA 76ERS,7,3,4,4.6,1.1,3.6,2.9,0.1,1.66,0.76,0.32,0.0,0.0,0.3,0.0,0.0,1.0,2020
Zion Williamson,NEW ORLEANS PELICANS,23,11,12,27.5,22.6,45.2,31.4,1.4,1.86,1.12,0.499,3.6,6.9,8.9,0.829,0.503,1.078,2020
Zylan Cheatham,NEW ORLEANS PELICANS,4,2,2,12.8,3.0,17.0,8.3,0.4,1.39,0.56,0.176,1.8,0.0,1.3,0.0,0.0,1.2,2020
Aaron Holiday,INDIANA PACERS,66,30,36,17.8,7.2,24.5,15.5,1.2,2.97,2.61,0.293,0.2,0.0,0.3,0.727,0.0,0.591,2021
Aaron Nesmith,BOSTON CELTICS,46,22,24,14.5,4.7,16.7,9.5,0.5,1.67,0.81,0.284,0.2,0.0,0.7,0.5,0.0,0.97,2021
Abdel Nader,,24,16,8,14.8,6.7,16.2,10.9,0.5,1.91,1.19,0.411,0.0,0.0,0.7,0.0,0.0,1.176,2021
Adam Mokoka,CHICAGO BULLS,14,3,11,4.0,1.1,4.1,3.1,0.1,1.37,0.78,0.259,0.1,0.0,0.1,0.0,0.0,2.0,2021
Al Horford,BOSTON CELTICS,28,11,17,27.9,14.2,53.6,38.5,1.9,2.15,0.73,0.265,2.7,3.9,3.5,0.4,0.55,0.753,2021
Al-Farouq Aminu,CHICAGO BULLS,23,5,18,18.9,4.4,30.1,13.7,1.0,2.04,1.02,0.147,1.0,1.0,1.8,0.217,0.208,0.561,2021
Alec Burks,NEW YORK KNICKS,49,27,22,25.6,12.7,38.9,24.7,2.3,3.5,2.78,0.327,0.4,0.0,0.7,0.444,1.0,0.8,2021
Aleksej Pokusevski,OKLAHOMA CITY THUNDER,45,13,32,24.2,8.2,41.4,23.0,1.6,2.39,1.63,0.197,0.3,0.1,1.0,0.5,0.4,0.609,2021
Alen Smailagic,GOLDEN STATE WARRIORS,15,10,5,5.6,1.9,9.3,4.9,0.3,1.76,0.51,0.201,0.3,0.2,0.8,0.4,0.0,0.583,2021
Alex Caruso,LOS ANGELES LAKERS,58,32,26,21.0,6.4,44.0,18.8,2.5,3.44,2.7,0.145,0.6,0.1,0.8,0.531,0.0,0.667,2021
Alex Len,WASHINGTON WIZARDS,64,30,34,15.3,6.6,21.9,12.7,0.5,1.33,0.45,0.301,1.5,0.5,5.0,0.633,0.571,0.94,2021
Alfonzo McKinnie,LOS ANGELES LAKERS,39,22,17,6.6,3.1,8.1,5.1,0.2,1.72,0.76,0.389,0.1,0.0,0.8,0.0,0.0,1.156,2021
Alize Johnson,,18,10,8,10.5,5.2,16.0,7.2,0.7,2.56,1.82,0.326,0.3,0.1,2.6,0.667,0.0,0.894,2021
Amida Brimah,INDIANA PACERS,5,2,3,5.9,2.6,9.2,5.0,0.2,1.32,0.35,0.283,0.2,0.8,2.0,0.0,0.0,1.3,2021
Amir Coffey,LOS ANGELES CLIPPERS,44,32,12,9.0,3.2,10.8,7.9,0.5,2.61,1.69,0.296,0.0,0.0,0.1,1.0,0.0,1.0,2021
Anderson Varejao,CLEVELAND CAVALIERS,5,1,4,7.2,2.6,15.8,7.8,0.5,1.96,0.66,0.165,1.6,1.0,1.8,0.625,0.6,0.444,2021
Andre Drummond,LOS ANGELES LAKERS,46,19,27,27.0,14.9,53.0,30.0,1.9,2.15,0.89,0.282,4.1,6.4,10.0,0.466,0.49,0.837,2021
Andre Iguodala,MIAMI HEAT,63,37,26,21.3,4.4,35.7,15.3,1.7,2.91,1.93,0.122,0.8,0.4,1.2,0.235,0.296,0.308,2021
Andre Roberson,,5,4,1,12.6,1.2,16.6,8.0,0.4,1.31,0.63,0.072,1.2,0.0,1.4,0.167,0.0,0.286,2021
Andrew Wiggins,GOLDEN STATE WARRIORS,71,38,33,33.3,18.6,48.0,33.1,2.4,2.99,2.2,0.388,0.5,1.7,2.4,0.515,0.615,0.971,2021
Anfernee Simons,PORTLAND TRAIL BLAZERS,64,37,27,17.3,7.8,28.2,10.1,2.3,4.89,4.37,0.278,0.1,0.0,0.2,0.0,0.0,0.4,2021
Anthony Davis,LOS ANGELES LAKERS,36,23,13,32.3,21.8,61.6,39.7,2.6,2.54,1.11,0.354,4.2,9.2,6.4,0.687,0.554,1.017,2021
Anthony Edwards,MINNESOTA TIMBERWOLVES,72,23,49,32.1,19.3,54.1,31.8,3.3,3.7,3.11,0.357,0.8,0.2,1.4,0.964,0.667,0.929,2021
Anthony Gill,WASHINGTON WIZARDS,26,11,15,8.4,3.1,11.2,6.5,0.3,1.5,0.51,0.274,0.3,0.1,1.3,0.571,1.5,0.824,2021
Anthony Lamb,HOUSTON ROCKETS,24,3,21,17.3,5.5,25.9,13.1,0.9,2.04,1.29,0.214,0.4,0.3,1.7,0.6,0.375,0.625,2021
Anthony Tolliver,PHILADELPHIA 76ERS,11,7,4,9.0,1.5,8.5,5.5,0.2,1.54,0.63,0.181,0.0,0.0,0.3,0.0,0.0,0.0,2021
Anzejs Pasecniks,WASHINGTON WIZARDS,1,1,0,6.3,0.0,20.0,15.0,0.6,1.79,0.8,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2021
Armoni Brooks,HOUSTON ROCKETS,20,3,17,26.0,11.2,36.9,23.6,1.6,2.58,1.82,0.302,0.2,0.1,0.5,0.0,0.0,0.556,2021
Aron Baynes,TORONTO RAPTORS,53,20,33,18.5,6.1,27.6,16.5,0.6,1.29,0.28,0.222,1.7,0.3,3.9,0.522,0.25,0.8,2021
Ashton Hagans,MINNESOTA TIMBERWOLVES,2,0,2,2.0,0.0,1.5,0.5,0.1,3.97,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Austin Rivers,DENVER NUGGETS,36,20,16,23.5,7.9,33.4,22.6,2.0,3.57,2.86,0.237,0.2,0.0,0.2,0.571,0.0,0.25,2021
Avery Bradley,HOUSTON ROCKETS,27,6,21,22.3,6.4,29.6,18.0,1.2,2.46,1.97,0.216,0.3,0.0,1.1,0.286,0.0,0.833,2021
Axel Toupane,MILWAUKEE BUCKS,8,2,6,7.7,1.8,7.9,4.3,0.2,1.85,0.98,0.222,0.4,0.0,0.5,0.667,0.0,1.0,2021
Bam Adebayo,MIAMI HEAT,64,34,30,33.5,18.7,64.4,40.4,3.1,2.88,1.55,0.29,6.4,5.7,8.1,0.48,0.364,0.975,2021
Ben McLemore,LOS ANGELES LAKERS,53,20,33,17.1,7.7,22.6,15.2,0.6,1.57,0.74,0.339,0.4,0.0,0.5,0.65,0.0,0.815,2021
Ben Simmons,PHILADELPHIA 76ERS,58,42,16,32.4,14.3,82.0,27.1,5.8,4.24,3.24,0.174,2.1,2.8,3.9,0.471,0.472,0.721,2021
Bismack Biyombo,,66,28,38,20.4,5.0,25.7,16.7,0.6,1.5,0.39,0.196,2.3,0.5,6.3,0.258,0.29,0.667,2021
Blake Griffin,,46,24,22,25.8,11.0,47.2,29.8,2.0,2.58,1.51,0.232,1.9,3.0,2.0,0.443,0.606,0.804,2021
Boban Marjanovic,DALLAS MAVERICKS,33,14,19,8.2,4.7,13.9,7.9,0.4,1.61,0.41,0.341,1.1,2.0,3.7,0.514,0.662,0.967,2021
Bobby Portis,MILWAUKEE BUCKS,66,44,22,20.8,11.4,34.5,17.1,0.9,1.62,0.63,0.331,1.4,1.8,3.8,0.71,0.678,0.909,2021
Bogdan Bogdanovic,ATLANTA HAWKS,44,30,14,29.7,16.4,47.0,30.1,2.4,3.04,2.11,0.348,0.8,0.2,1.0,0.788,0.0,0.698,2021
Bojan Bogdanovic,UTAH JAZZ,72,52,20,30.8,17.0,41.5,29.9,1.6,2.26,1.55,0.41,0.4,1.4,1.0,0.679,0.64,1.071,2021
Bol Bol,DENVER NUGGETS,32,21,11,5.0,2.2,6.2,3.7,0.2,2.11,1.23,0.348,0.1,0.1,0.1,1.333,2.0,1.5,2021
Brad Wanamaker,,61,29,32,17.3,5.5,36.7,17.3,2.3,3.76,3.56,0.15,0.1,0.0,0.5,0.667,0.0,0.939,2021
Bradley Beal,WASHINGTON WIZARDS,60,32,28,35.8,31.3,69.0,47.5,3.8,3.33,2.77,0.454,1.3,0.5,2.3,0.667,0.407,0.993,2021
