PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
Ed Davis,MEMPHIS GRIZZLIES,63,38,25,15.2,5.7,22.3,11.5,0.6,1.63,0.45,0.254,2.7,0.8,4.7,0.381,0.596,0.798,2014
Ekpe Udoh,MILWAUKEE BUCKS,42,7,35,19.1,3.4,26.2,15.3,0.7,1.66,0.46,0.131,2.7,1.4,2.7,0.265,0.333,0.5,2014
Elias Harris,LOS ANGELES LAKERS,2,1,1,5.7,0.0,6.0,4.5,0.1,1.41,0.25,0.0,0.0,1.0,1.5,0.0,0.0,0.0,2014
Elliot Williams,PHILADELPHIA 76ERS,67,13,54,17.3,6.0,21.5,16.0,0.9,2.6,1.67,0.281,0.4,0.0,0.9,0.833,0.0,0.85,2014
Elton Brand,ATLANTA HAWKS,72,34,38,19.3,5.7,32.2,18.7,0.8,1.5,0.44,0.178,4.1,1.7,3.7,0.439,0.183,0.589,2014
Enes Freedom,UTAH JAZZ,80,23,57,26.7,12.3,40.3,26.1,1.3,1.96,0.58,0.306,3.6,6.8,6.1,0.415,0.47,0.876,2014
Eric Bledsoe,,43,28,15,32.9,17.7,71.2,26.0,6.3,5.33,5.08,0.249,1.0,0.5,1.5,0.439,0.087,0.672,2014
Eric Gordon,NEW ORLEANS PELICANS,64,26,38,32.1,15.4,41.3,31.0,2.2,3.19,2.56,0.374,1.5,0.6,0.9,0.527,0.488,0.5,2014
Eric Maynor,PHILADELPHIA 76ERS,31,11,20,10.5,2.6,27.7,11.4,2.1,4.6,3.92,0.095,0.0,0.0,0.2,0.0,0.0,0.4,2014
Erik Murphy,CHICAGO BULLS,24,13,11,2.6,0.3,5.1,2.4,0.1,1.35,0.3,0.049,0.4,0.1,0.4,0.0,0.0,0.667,2014
Ersan Ilyasova,MILWAUKEE BUCKS,54,10,44,26.9,11.2,52.2,33.1,1.3,1.49,0.47,0.214,2.7,1.3,4.5,0.359,0.403,0.826,2014
Evan Fournier,DENVER NUGGETS,76,35,41,19.8,8.4,28.9,17.3,1.5,3.11,2.5,0.29,0.5,0.2,1.1,0.65,0.615,0.463,2014
Evan Turner,INDIANA PACERS,81,29,52,30.3,14.0,52.7,36.0,2.8,3.18,2.41,0.265,1.6,0.5,1.5,0.646,0.864,0.779,2014
Francisco Garcia,HOUSTON ROCKETS,55,33,22,19.7,5.7,23.7,18.4,0.8,1.97,1.11,0.242,0.2,0.0,0.4,0.364,0.0,0.783,2014
Gal Mekel,DALLAS MAVERICKS,31,18,13,9.4,2.4,23.6,9.0,2.0,5.06,5.35,0.1,0.2,0.1,0.3,0.8,0.667,0.444,2014
Garrett Temple,WASHINGTON WIZARDS,74,40,34,8.6,1.9,18.8,8.4,1.2,3.93,3.48,0.099,0.2,0.0,0.2,0.833,0.0,0.25,2014
Gary Neal,,51,19,32,21.3,10.6,34.8,27.8,1.6,2.83,1.89,0.304,0.6,0.0,0.2,0.333,3.0,0.083,2014
George Hill,INDIANA PACERS,76,50,26,32.0,10.3,69.6,26.2,5.8,4.99,4.87,0.148,0.5,0.5,1.1,0.436,0.439,1.012,2014
Gerald Green,,82,48,34,28.4,15.8,37.7,27.3,1.7,2.73,1.65,0.419,0.9,0.9,1.0,0.539,0.653,0.725,2014
Gerald Henderson,,76,39,37,32.0,14.1,53.8,47.5,2.1,2.36,1.2,0.261,1.7,2.1,1.6,0.508,0.417,0.806,2014
